dimensions,width,height
"(1440, 1080)",1440,1080
"(1329, 996)",1329,996
"(1161, 870)",1161,870
"(1101, 825)",1101,825
"(1269, 951)",1269,951
"(868, 651)",868,651
"(1398, 1048)",1398,1048
"(1144, 858)",1144,858
"(813, 609)",813,609
"(1275, 956)",1275,956
"(1239, 929)",1239,929
"(1235, 926)",1235,926
"(1113, 834)",1113,834
"(828, 621)",828,621
"(1246, 934)",1246,934
"(843, 632)",843,632
"(809, 606)",809,606
"(871, 653)",871,653
"(824, 618)",824,618
"(810, 607)",810,607
"(1125, 843)",1125,843
"(1372, 1029)",1372,1029
"(808, 606)",808,606
"(882, 661)",882,661
"(889, 666)",889,666
"(1428, 1071)",1428,1071
"(1169, 876)",1169,876
"(1262, 946)",1262,946
"(1200, 900)",1200,900
"(828, 621)",828,621
"(895, 671)",895,671
"(841, 630)",841,630
"(1132, 849)",1132,849
"(856, 642)",856,642
"(832, 624)",832,624
"(809, 606)",809,606
"(851, 638)",851,638
"(878, 658)",878,658
"(839, 629)",839,629
"(1342, 1006)",1342,1006
"(1209, 906)",1209,906
"(854, 640)",854,640
"(1115, 836)",1115,836
"(831, 623)",831,623
"(1309, 981)",1309,981
"(1101, 825)",1101,825
"(898, 673)",898,673
"(828, 621)",828,621
"(1129, 846)",1129,846
"(889, 666)",889,666
"(1471, 1103)",1471,1103
"(1172, 879)",1172,879
"(1374, 1030)",1374,1030
"(1336, 1002)",1336,1002
"(1108, 831)",1108,831
"(894, 670)",894,670
"(814, 610)",814,610
"(843, 632)",843,632
"(1192, 894)",1192,894
"(1427, 1070)",1427,1070
"(1493, 1119)",1493,1119
"(808, 606)",808,606
"(828, 621)",828,621
"(1418, 1063)",1418,1063
"(1222, 916)",1222,916
"(1321, 990)",1321,990
"(856, 642)",856,642
"(813, 609)",813,609
"(875, 656)",875,656
"(1282, 961)",1282,961
"(817, 612)",817,612
"(825, 618)",825,618
"(829, 621)",829,621
"(856, 642)",856,642
"(1154, 865)",1154,865
"(1248, 936)",1248,936
"(1396, 1047)",1396,1047
"(874, 655)",874,655
"(1135, 851)",1135,851
"(1392, 1044)",1392,1044
"(888, 666)",888,666
"(1253, 939)",1253,939
"(1283, 962)",1283,962
"(1256, 942)",1256,942
"(846, 634)",846,634
"(1158, 868)",1158,868
"(1215, 911)",1215,911
"(1138, 853)",1138,853
"(1340, 1005)",1340,1005
"(898, 673)",898,673
"(1254, 940)",1254,940
"(1275, 956)",1275,956
"(1498, 1123)",1498,1123
"(805, 603)",805,603
"(850, 637)",850,637
"(1478, 1108)",1478,1108
"(891, 668)",891,668
"(890, 667)",890,667
"(1285, 963)",1285,963
"(842, 631)",842,631
"(1273, 954)",1273,954
"(1472, 1104)",1472,1104
"(1115, 836)",1115,836
"(1477, 1107)",1477,1107
"(1356, 1017)",1356,1017
"(1284, 963)",1284,963
"(838, 628)",838,628
"(813, 609)",813,609
"(1233, 924)",1233,924
"(873, 654)",873,654
"(832, 624)",832,624
"(860, 645)",860,645
"(808, 606)",808,606
"(812, 609)",812,609
"(1461, 1095)",1461,1095
"(888, 666)",888,666
"(1494, 1120)",1494,1120
"(1351, 1013)",1351,1013
"(874, 655)",874,655
"(804, 603)",804,603
"(870, 652)",870,652
"(1153, 864)",1153,864
"(1191, 893)",1191,893
"(1459, 1094)",1459,1094
"(1358, 1018)",1358,1018
"(802, 601)",802,601
"(847, 635)",847,635
"(1462, 1096)",1462,1096
"(1313, 984)",1313,984
"(817, 612)",817,612
"(834, 625)",834,625
"(1139, 854)",1139,854
"(897, 672)",897,672
"(1328, 996)",1328,996
"(873, 654)",873,654
"(850, 637)",850,637
"(815, 611)",815,611
"(838, 628)",838,628
"(1347, 1010)",1347,1010
"(818, 613)",818,613
"(855, 641)",855,641
"(1450, 1087)",1450,1087
"(802, 601)",802,601
"(1430, 1072)",1430,1072
"(802, 601)",802,601
"(1478, 1108)",1478,1108
"(1454, 1090)",1454,1090
"(807, 605)",807,605
"(862, 646)",862,646
"(1420, 1065)",1420,1065
"(831, 623)",831,623
"(1299, 974)",1299,974
"(1238, 928)",1238,928
"(848, 636)",848,636
"(841, 630)",841,630
"(821, 615)",821,615
"(840, 630)",840,630
"(1318, 988)",1318,988
"(1110, 832)",1110,832
"(1280, 960)",1280,960
"(853, 639)",853,639
"(844, 633)",844,633
"(891, 668)",891,668
"(821, 615)",821,615
"(897, 672)",897,672
"(839, 629)",839,629
"(1380, 1035)",1380,1035
"(857, 642)",857,642
"(1239, 929)",1239,929
"(1247, 935)",1247,935
"(1145, 858)",1145,858
"(832, 624)",832,624
"(823, 617)",823,617
"(850, 637)",850,637
"(827, 620)",827,620
"(800, 600)",800,600
"(1312, 984)",1312,984
"(896, 672)",896,672
"(1366, 1024)",1366,1024
"(1203, 902)",1203,902
"(852, 639)",852,639
"(1347, 1010)",1347,1010
"(806, 604)",806,604
"(1440, 1080)",1440,1080
"(808, 606)",808,606
"(1256, 942)",1256,942
"(851, 638)",851,638
"(840, 630)",840,630
"(866, 649)",866,649
"(814, 610)",814,610
"(1314, 985)",1314,985
"(864, 648)",864,648
"(874, 655)",874,655
"(894, 670)",894,670
"(835, 626)",835,626
"(1111, 833)",1111,833
"(1458, 1093)",1458,1093
"(1248, 936)",1248,936
"(868, 651)",868,651
"(879, 659)",879,659
"(1382, 1036)",1382,1036
"(1156, 867)",1156,867
"(811, 608)",811,608
"(1247, 935)",1247,935
"(899, 674)",899,674
"(838, 628)",838,628
"(816, 612)",816,612
"(1363, 1022)",1363,1022
"(1473, 1104)",1473,1104
"(863, 647)",863,647
"(1172, 879)",1172,879
"(892, 669)",892,669
"(1180, 885)",1180,885
"(899, 674)",899,674
"(858, 643)",858,643
"(1313, 984)",1313,984
"(858, 643)",858,643
"(1231, 923)",1231,923
"(829, 621)",829,621
"(843, 632)",843,632
"(845, 633)",845,633
"(1277, 957)",1277,957
"(859, 644)",859,644
"(810, 607)",810,607
"(1270, 952)",1270,952
"(1186, 889)",1186,889
"(1422, 1066)",1422,1066
"(839, 629)",839,629
"(837, 627)",837,627
"(1265, 948)",1265,948
"(810, 607)",810,607
"(1188, 891)",1188,891
"(899, 674)",899,674
"(854, 640)",854,640
"(1194, 895)",1194,895
"(863, 647)",863,647
"(856, 642)",856,642
"(1330, 997)",1330,997
"(1301, 975)",1301,975
"(801, 600)",801,600
"(1220, 915)",1220,915
"(1440, 1080)",1440,1080
"(801, 600)",801,600
"(801, 600)",801,600
"(872, 654)",872,654
"(1115, 836)",1115,836
"(873, 654)",873,654
"(804, 603)",804,603
"(1298, 973)",1298,973
"(1134, 850)",1134,850
"(1134, 850)",1134,850
"(856, 642)",856,642
"(1383, 1037)",1383,1037
"(1171, 878)",1171,878
"(833, 624)",833,624
"(836, 627)",836,627
"(853, 639)",853,639
