images,label,size_kb,dimensions
./train/dent/1005.jpg,dent,351.62,"(1440, 1080)"
./train/dent/1007.jpg,dent,168.194,"(1329, 996)"
./train/dent/101.jpg,dent,136.382,"(1161, 870)"
./train/dent/1013.jpg,dent,197.59,"(1101, 825)"
./train/dent/1015.jpg,dent,144.728,"(1269, 951)"
./train/dent/1022.jpg,dent,48.391,"(868, 651)"
./train/dent/1024.jpg,dent,180.277,"(1398, 1048)"
./train/dent/1026.jpg,dent,106.91,"(1144, 858)"
./train/dent/1028.jpg,dent,91.217,"(813, 609)"
./train/dent/1034.jpg,dent,196.496,"(1275, 956)"
./train/dent/1044.jpg,dent,177.22,"(1239, 929)"
./train/dent/1045.jpg,dent,185.119,"(1235, 926)"
./train/dent/1052.jpg,dent,179.716,"(1113, 834)"
./train/dent/1054.jpg,dent,83.122,"(828, 621)"
./train/dent/1055.jpg,dent,258.053,"(1246, 934)"
./train/dent/1068.jpg,dent,60.358,"(843, 632)"
./train/dent/1069.jpg,dent,52.24,"(809, 606)"
./train/dent/1074.jpg,dent,72.435,"(871, 653)"
./train/dent/1080.jpg,dent,59.607,"(824, 618)"
./train/dent/1082.jpg,dent,62.933,"(810, 607)"
./train/dent/109.jpg,dent,190.683,"(1125, 843)"
./train/dent/1090.jpg,dent,121.628,"(1372, 1029)"
./train/dent/1096.jpg,dent,143.64,"(808, 606)"
./train/dent/1099.jpg,dent,78.797,"(882, 661)"
./train/dent/1108.jpg,dent,76.381,"(889, 666)"
./train/dent/1111.jpg,dent,146.732,"(1428, 1071)"
./train/dent/1119.jpg,dent,159.981,"(1169, 876)"
./train/dent/112.jpg,dent,192.667,"(1262, 946)"
./train/dent/1120.jpg,dent,111.341,"(1200, 900)"
./train/dent/1122.jpg,dent,63.483,"(828, 621)"
./train/dent/1123.jpg,dent,74.339,"(895, 671)"
./train/dent/1129.jpg,dent,166.416,"(841, 630)"
./train/dent/113.jpg,dent,96.612,"(1132, 849)"
./train/dent/1131.jpg,dent,66.117,"(856, 642)"
./train/dent/1133.jpg,dent,101.936,"(832, 624)"
./train/dent/1136.jpg,dent,109.692,"(809, 606)"
./train/dent/1139.jpg,dent,119.906,"(851, 638)"
./train/dent/1156.jpg,dent,58.979,"(878, 658)"
./train/dent/1158.jpg,dent,67.905,"(839, 629)"
./train/dent/1169.jpg,dent,272.881,"(1342, 1006)"
./train/dent/1178.jpg,dent,171.588,"(1209, 906)"
./train/dent/1181.jpg,dent,99.514,"(854, 640)"
./train/dent/1184.jpg,dent,167.186,"(1115, 836)"
./train/dent/1198.jpg,dent,68.706,"(831, 623)"
./train/dent/1199.jpg,dent,155.619,"(1309, 981)"
./train/dent/120.jpg,dent,152.249,"(1101, 825)"
./train/dent/1216.jpg,dent,71.354,"(898, 673)"
./train/dent/1219.jpg,dent,113.753,"(828, 621)"
./train/dent/1227.jpg,dent,169.012,"(1129, 846)"
./train/dent/123.jpg,dent,61.426,"(889, 666)"
./train/dent/1231.jpg,dent,297.289,"(1471, 1103)"
./train/dent/1232.jpg,dent,279.132,"(1172, 879)"
./train/dent/1239.jpg,dent,114.304,"(1374, 1030)"
